,Book_Name,Rating out of 5,Link,Price,Quantity,Cover_Imagelink,Book_Link
0,A Light in the Attic,Three,a-light-in-the-attic_1000/index.html,Â£51.77,In stock,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,a-light-in-the-attic_1000/index.html
1,Tipping the Velvet,One,tipping-the-velvet_999/index.html,Â£53.74,In stock,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,tipping-the-velvet_999/index.html
2,Soumission,One,soumission_998/index.html,Â£50.10,In stock,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,soumission_998/index.html
3,Sharp Objects,Four,sharp-objects_997/index.html,Â£47.82,In stock,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,sharp-objects_997/index.html
4,Sapiens: A Brief History of Humankind,Five,sapiens-a-brief-history-of-humankind_996/index.html,Â£54.23,In stock,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,sapiens-a-brief-history-of-humankind_996/index.html
5,The Requiem Red,One,the-requiem-red_995/index.html,Â£22.65,In stock,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,the-requiem-red_995/index.html
6,The Dirty Little Secrets of Getting Your Dream Job,Four,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Â£33.34,In stock,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Â£17.93,In stock,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Â£22.60,In stock,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
9,The Black Maria,One,the-black-maria_991/index.html,Â£52.15,In stock,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,the-black-maria_991/index.html
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,starving-hearts-triangular-trade-trilogy-1_990/index.html,Â£13.99,In stock,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,starving-hearts-triangular-trade-trilogy-1_990/index.html
11,Shakespeare's Sonnets,Four,shakespeares-sonnets_989/index.html,Â£20.66,In stock,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,shakespeares-sonnets_989/index.html
12,Set Me Free,Five,set-me-free_988/index.html,Â£17.46,In stock,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,set-me-free_988/index.html
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Â£52.29,In stock,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
14,Rip it Up and Start Again,Five,rip-it-up-and-start-again_986/index.html,Â£35.02,In stock,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,rip-it-up-and-start-again_986/index.html
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Â£57.25,In stock,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
16,Olio,One,olio_984/index.html,Â£23.88,In stock,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,olio_984/index.html
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Â£37.59,In stock,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
18,Libertarianism for Beginners,Two,libertarianism-for-beginners_982/index.html,Â£51.33,In stock,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,libertarianism-for-beginners_982/index.html
19,It's Only the Himalayas,Two,its-only-the-himalayas_981/index.html,Â£45.17,In stock,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,its-only-the-himalayas_981/index.html
20,In Her Wake,One,in-her-wake_980/index.html,Â£12.84,In stock,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,in-her-wake_980/index.html
21,How Music Works,Two,how-music-works_979/index.html,Â£37.32,In stock,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,how-music-works_979/index.html
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Â£30.52,In stock,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
23,Chase Me (Paris Nights #2),Five,chase-me-paris-nights-2_977/index.html,Â£25.27,In stock,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,chase-me-paris-nights-2_977/index.html
24,Black Dust,Five,black-dust_976/index.html,Â£34.53,In stock,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,black-dust_976/index.html
25,Birdsong: A Story in Pictures,Three,birdsong-a-story-in-pictures_975/index.html,Â£54.64,In stock,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,birdsong-a-story-in-pictures_975/index.html
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Â£22.50,In stock,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
27,Aladdin and His Wonderful Lamp,Three,aladdin-and-his-wonderful-lamp_973/index.html,Â£53.13,In stock,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,aladdin-and-his-wonderful-lamp_973/index.html
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Â£40.30,In stock,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
29,Wall and Piece,Four,wall-and-piece_971/index.html,Â£44.18,In stock,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,wall-and-piece_971/index.html
30,The Four Agreements: A Practical Guide to Personal Freedom,Five,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Â£17.66,In stock,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
